player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Emre Can,de GER,DF,Dortmund,1994,4,9,6,6,2,1,5,9,55.6,4,39,12,30.8,17,16,6,5,0,0,5,3,12,18,0,2020,German
Koen Casteels,be BEL,GK,Wolfsburg,1992,5,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,German
Gonzalo Castro,de GER,"MF,FW",Stuttgart,1987,5.2,5,4,1,4,0,3,12,25,9,68,26,38.2,9,29,30,8,1,0,7,1,6,1,0,2020,German
Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,1990,0.6,0,0,0,0,0,0,1,0,1,11,1,9.1,2,5,4,2,0,0,2,1,1,0,0,2020,German
Kwon Chang-hoon,kr KOR,MF,Freiburg,1994,1.2,1,1,0,1,0,0,1,0,1,34,8,23.5,6,14,14,4,1,0,3,3,4,1,0,2020,German
Tahith Chong,nl NED,"MF,FW",Werder Bremen,1999,1.8,2,2,0,2,0,0,1,0,1,41,15,36.6,4,28,9,0,0,0,0,1,3,0,0,2020,German
Darko Churlinov,mk MKD,"FW,DF",Stuttgart,2000,0.3,1,1,0,1,0,0,0,,0,3,3,100,0,2,1,0,0,0,0,1,2,0,0,2020,German
Kingsley Coman,fr FRA,FW,Bayern Munich,1996,1.9,5,4,3,1,1,2,4,50,2,37,15,40.5,5,7,25,1,0,0,1,0,5,0,0,2020,German
Jhon Córdoba,co COL,FW,Hertha BSC,1993,4.7,3,2,1,0,2,0,1,0,1,50,17,34,4,25,21,2,0,0,2,4,7,1,0,2020,German
Sergio Córdova,ve VEN,"FW,MF",Arminia,1997,3.5,6,5,1,3,2,1,6,16.7,5,74,15,20.3,13,41,20,7,2,0,5,1,7,8,0,2020,German
Danny da Costa,de GER,DF,Eint Frankfurt,1993,1,2,2,2,0,0,0,1,0,1,23,6,26.1,8,11,4,4,1,0,3,0,2,4,0,2020,German
