player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Daniel James,wal WAL,FW,Manchester Utd,1997,2,0,6,1,16.7,3.05,0.51,0,0,20,0,0,0,2020,English
Reece James,eng ENG,DF,Chelsea,1999,5,1,5,2,40,0.99,0.4,0.2,0.5,23,0,0,0,2020,English
Gabriel Jesus,br BRA,FW,Manchester City,1997,1,1,3,3,100,3,3,0.33,0.33,17.8,0,0,0,2020,English
Raúl Jiménez,mx MEX,"FW,MF",Wolves,1991,7,4,22,9,40.9,3.15,1.29,0.18,0.44,15.4,0,0,0,2020,English
Joelinton,br BRA,"FW,MF",Newcastle Utd,1996,3.4,0,3,2,66.7,0.87,0.58,0,0,16.3,0,0,0,2020,English
Ben Johnson,eng ENG,DF,West Ham,2000,0.5,0,0,0,,0,0,,,,0,0,0,2020,English
Sam Johnstone,eng ENG,GK,West Brom,1993,7,0,0,0,,0,0,,,,0,0,0,2020,English
Curtis Jones,eng ENG,MF,Liverpool,2001,1.4,0,1,0,0,0.73,0,0,,25,0,0,0,2020,English
Jorginho,it ITA,MF,Chelsea,1991,4.9,3,2,0,0,0.41,0,0,,18.2,0,3,4,2020,English
Diogo Jota,pt POR,FW,Liverpool,1996,2.4,3,10,6,60,4.15,2.49,0.3,0.5,14.3,0,0,0,2020,English
James Justin,eng ENG,DF,Leicester City,1998,7,1,2,1,50,0.29,0.14,0.5,1,18.6,0,0,0,2020,English
Aboubakar Kamara,fr FRA,"FW,DF",Fulham,1995,2.4,0,3,1,33.3,1.24,0.41,0,0,18.9,0,0,0,2020,English
Harry Kane,eng ENG,FW,Tottenham,1993,6.9,6,28,12,42.9,4.04,1.73,0.14,0.33,16.5,0,2,2,2020,English
N'Golo Kanté,fr FRA,MF,Chelsea,1991,6.9,0,2,0,0,0.29,0,0,,22.5,0,0,0,2020,English
Moise Kean,it ITA,FW,Everton,2000,0.2,0,1,0,0,6,0,0,,23.1,0,0,0,2020,English
Michael Keane,eng ENG,DF,Everton,1993,7,2,4,2,50,0.57,0.29,0.5,1,7.3,0,0,0,2020,English
Neeskens Kebano,cd COD,"FW,MF",Fulham,1992,1.3,0,6,0,0,4.58,0,0,,18.8,1,0,0,2020,English
Naby Keïta,gn GUI,MF,Liverpool,1995,2.7,0,5,0,0,1.85,0,0,,16.4,0,0,0,2020,English
Jonjoe Kenny,eng ENG,DF,Everton,1997,0.8,0,0,0,,0,0,,,,0,0,0,2020,English
Max Kilman,eng ENG,DF,Wolves,1997,4,0,0,0,,0,0,,,,0,0,0,2020,English
Mateusz Klich,pl POL,MF,Leeds United,1990,6.7,2,6,4,66.7,0.89,0.59,0.17,0.25,22.7,0,1,1,2020,English
Robin Koch,de GER,DF,Leeds United,1996,7,0,5,2,40,0.71,0.29,0,0,8,0,0,0,2020,English
Sead Kolašinac,ba BIH,DF,Arsenal,1993,1,0,0,0,,0,0,,,,0,0,0,2020,English
Ezri Konsa,eng ENG,DF,Aston Villa,1997,6,1,3,2,66.7,0.5,0.33,0.33,0.5,6.7,0,0,0,2020,English
Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,1989,7,1,3,2,66.7,0.43,0.29,0.33,0.5,5.7,0,0,0,2020,English
Mateo Kovačić,hr CRO,MF,Chelsea,1994,1.5,0,1,0,0,0.69,0,0,,32,0,0,0,2020,English
Emil Krafth,se SWE,DF,Newcastle Utd,1994,2,0,0,0,,0,0,,,,0,0,0,2020,English
Filip Krovinović,hr CRO,MF,West Brom,1995,2.9,0,4,2,50,1.36,0.68,0,0,22.2,0,0,0,2020,English
Alexandre Lacazette,fr FRA,FW,Arsenal,1991,4.7,3,8,6,75,1.71,1.28,0.38,0.5,8.5,0,0,0,2020,English
Adam Lallana,eng ENG,"MF,FW",Brighton,1988,5.3,0,5,0,0,0.95,0,0,,16.6,0,0,0,2020,English
Érik Lamela,ar ARG,FW,Tottenham,1992,2.1,0,8,3,37.5,3.79,1.42,0,0,17.7,3,0,0,2020,English
Tariq Lamptey,eng ENG,DF,Brighton,2000,7,1,6,2,33.3,0.86,0.29,0.17,0.5,12.2,0,0,0,2020,English
Manuel Lanzini,ar ARG,"MF,DF",West Ham,1993,0.2,1,1,1,100,5.29,5.29,1,1,26,0,0,0,2020,English
Aymeric Laporte,fr FRA,DF,Manchester City,1994,2,0,2,0,0,1,0,0,,7.5,0,0,0,2020,English
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,1993,7,0,3,0,0,0.43,0,0,,10.3,0,0,0,2020,English
